id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,p99__ns3__pmn_m,p99__ns3__mlsys,window,enable_pfc,param_1,bfsz
100,Matrix B,CacheFollower,2.0,0.373830321652044,0.37619794106704263,0.3125296867491665,2-to-1,0.04455193760413995,0.026922290728896816,24097.0,1.0,6.224295597952637,40.0
101,Matrix C,CacheFollower,1.0,0.41476002394153044,0.4184129526936656,0.1810650666588571,2-to-1,0.03851941363821116,-0.01957159107300303,28381.0,0.0,9.978931631469333,40.0
102,Matrix A,CacheFollower,1.0,0.4932731422127044,0.4934675749405576,0.3213301854024944,4-to-1,0.18493233017267044,-0.04455315518627195,14046.0,1.0,10.029103853376498,40.0
103,Matrix C,WebServer,1.0,0.3493656036161469,0.36501703505779937,0.1747765903994567,4-to-1,-0.010526527168790744,0.01205923247634294,18425.0,0.0,5.634079154909051,40.0
104,Matrix A,CacheFollower,1.0,0.7313691177103281,0.734895366759939,0.6466554690964896,1-to-1,0.16747181957006266,-0.14203648728920729,18042.0,1.0,7.283170555948626,40.0
105,Matrix C,CacheFollower,2.0,0.5642609863149368,0.5681098593442037,0.27956645992617474,4-to-1,0.08921079866719739,0.021017280209618856,17535.0,0.0,8.637452895040333,40.0
106,Matrix A,CacheFollower,1.0,0.6016512914975161,0.6044818145277923,0.5616494885829553,2-to-1,0.2828086731392208,-0.10218691483700498,10867.0,1.0,9.565644224891198,40.0
107,Matrix B,WebServer,2.0,0.34208557771505443,0.34576151171762054,0.2787922333199375,4-to-1,0.06406846034335095,-0.22340098075483777,23818.0,0.0,18.776093909175316,40.0
108,Matrix B,CacheFollower,1.0,0.6422320509290859,0.6466976031713325,0.5277031708052036,1-to-1,0.0577319433488096,0.06697631878353477,22105.0,1.0,5.283552061408146,40.0
109,Matrix A,WebServer,2.0,0.4584110642684848,0.4819403866495387,0.4297499439836793,2-to-1,0.15672641514432403,-0.15886142812784299,22192.0,1.0,13.5390275572371,40.0
110,Matrix C,CacheFollower,1.0,0.6698157913107089,0.6756844918142018,0.29239739535497516,2-to-1,0.14242801518027423,-0.12161657795513288,8451.0,0.0,7.472078044849961,40.0
111,Matrix B,WebServer,1.0,0.4433183807243915,0.4483604488828261,0.3615198585073821,4-to-1,0.08971598460327718,-0.20285348503407657,13246.0,0.0,19.76532185242609,40.0
112,Matrix C,Hadoop,1.0,0.737859350819907,0.7636383846921988,0.36862665553259993,4-to-1,0.1806281752017898,0.06810580595788013,18506.0,1.0,16.897338940975487,40.0
113,Matrix B,CacheFollower,2.0,0.6796948012432781,0.6807383251052582,0.5534056085134275,4-to-1,0.458620180020996,-0.05204032850268941,9233.0,0.0,10.24652205523671,40.0
114,Matrix A,CacheFollower,1.0,0.3101633401350973,0.3116338212583124,0.2895520959152616,2-to-1,0.3380320264702327,-0.10662346966306573,9852.0,0.0,5.818277262663791,40.0
115,Matrix A,WebServer,1.0,0.6349799138648079,0.6470617734232322,0.41580277009211297,4-to-1,0.6313786861962679,-0.16240345362461664,9533.0,0.0,13.857765533582958,40.0
116,Matrix C,WebServer,1.0,0.6780269746651542,0.7084673846192295,0.3392266715876912,4-to-1,0.0990005303208741,0.04402885810715965,18161.0,1.0,11.952456490447931,40.0
117,Matrix A,Hadoop,1.0,0.582595013654567,0.5928439894680554,0.3809580447725241,4-to-1,0.12869492310328964,-0.2630179559928339,12902.0,1.0,14.237832018494288,40.0
118,Matrix A,WebServer,1.0,0.7472724190064007,0.7612003411222432,0.4891483679484423,4-to-1,0.3756185400189441,-0.1678140803896171,24688.0,1.0,11.263529265011378,40.0
119,Matrix C,Hadoop,2.0,0.49326275395570457,0.5095000708078621,0.20769883291646432,1-to-1,0.02136511909610678,-0.10739431507206074,10415.0,0.0,14.128093176749486,40.0
120,Matrix B,WebServer,1.0,0.461828272407843,0.4669585605108202,0.3765157991594356,4-to-1,0.08145250412242169,-0.17349649930555025,18070.0,0.0,18.656651395424902,40.0
121,Matrix A,WebServer,2.0,0.49493995903119375,0.5203090637183372,0.4639635879694334,2-to-1,0.5837962288550047,-0.23937606493347857,7362.0,0.0,11.045151343456137,40.0
122,Matrix A,CacheFollower,2.0,0.6731542124437904,0.6756298474713599,0.5945089532157306,1-to-1,0.1951347835894187,-0.1298633700617835,14815.0,0.0,9.705738163455695,40.0
