id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_m_path,p99__ns3__pmn_m_path,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__flowsim,p99__ns3__flowsim
87,Matrix C,CacheFollower,2.0,0.5750752053631623,0.582231368779885,0.2514975386966176,2-to-1,0.5437460317397254,0.12124380608317051,0.5437460317397254,0.12124380608317051,0.4034513727886899,-0.096084031410799,2.3577957609165705,-0.2769188414266316
88,Matrix C,WebServer,2.0,0.4886233680157534,0.5168610310146361,0.21528675132128947,2-to-1,0.43661544577791883,0.06671893366707644,0.43661544577791883,0.06671893366707644,0.15622427937701916,-0.04412715874321851,2.178305215110014,-0.5693203047314543
89,Matrix B,Hadoop,1.0,0.5817947562675669,0.6375856929034924,0.4787155458290472,1-to-1,0.05251603933689041,0.833241094405995,0.05251603933689041,0.833241094405995,0.00220423861510285,0.0021278264856072573,0.0192034383025366,-0.21319781383922318
90,Matrix A,Hadoop,2.0,0.5611895251834542,0.590940040206878,0.4974036648339277,1-to-1,0.473103779366832,0.02857508529252048,0.5600022708309015,0.08350598531687663,0.20444104016269274,-0.12104393694935842,1.232190991420269,-0.37828584226764733
91,Matrix C,WebServer,2.0,0.36708612320760126,0.38830028117231147,0.1617376839445103,2-to-1,0.3122631643170533,0.029605044168181268,0.3122631643170533,0.029605044168181268,0.10687968343093979,-0.024761259573238284,1.3375338773972847,-0.6627422962818734
92,Matrix A,Hadoop,2.0,0.36583227014692055,0.38524824472301616,0.3421805912868507,2-to-1,0.1829357102150582,0.09871513400693918,0.17443535134892124,0.06491845716023542,0.061525984959671806,0.023594851302283375,0.5561280152267928,-0.4004546431167367
93,Matrix B,CacheFollower,2.0,0.36343669711607274,0.3643561242108228,0.29613756570595845,4-to-1,0.029895094181614068,0.11386091281200746,0.029895094181614068,0.11386091281200746,0.0018402705882826042,0.0,0.0046694670697552355,-0.02998011888779679
94,Matrix B,CacheFollower,2.0,0.7217600124331737,0.7304357469552718,0.6015665911796334,2-to-1,0.030289567962637886,-0.02494146625414515,0.030289567962637886,-0.02494146625414515,0.016182216898481202,-0.03277746957539235,0.021577911544770952,-0.05561477821234113
95,Matrix C,CacheFollower,2.0,0.29252399644765925,0.29616382788296947,0.12792933832666428,2-to-1,0.08662520735104301,0.019987377293226544,0.08662520735104301,0.019987377293226544,0.07971575434952266,-0.013489867054785248,0.7386551537677457,-0.5510816982458018
96,Matrix A,CacheFollower,1.0,0.3928900746943492,0.39311294494785537,0.3470764613737656,1-to-1,0.22008110046075585,0.07073501079379507,0.18929962935691558,0.07892507022057542,0.12275437952558324,-0.02533909306772517,0.4821829164047984,-0.38415449789879796
97,Matrix B,CacheFollower,2.0,0.7116169967606567,0.7202160523426331,0.5931499345664103,2-to-1,0.006773439160271945,-0.016337592886288874,0.006773439160271945,-0.016337592886288874,0.008041986962183476,0.016206722124355522,0.00953176248419421,-0.04026378294631297
98,Matrix A,Hadoop,1.0,0.2909727515998869,0.30642548024316923,0.25792368818465927,1-to-1,0.1497024094769454,0.059779466837913776,0.13853908987463998,0.09224547225317917,0.03851573718618687,-0.02294467546258803,0.3523325802292528,-0.5044685850357286
99,Matrix A,WebServer,2.0,0.3360553892659176,0.34961414617925246,0.2977914162644543,1-to-1,0.14467335603421694,0.04953353220298918,0.13033946389224335,-0.03330991861598855,0.042669153141487025,-0.005508144482542101,0.4583260145080129,-0.5417466649716643
100,Matrix B,CacheFollower,2.0,0.373830321652044,0.37833162356626904,0.31158341586253663,2-to-1,0.008860211047294321,0.06361564146905252,0.008860211047294321,0.06361564146905252,0.0011999969769136032,0.0002605520782367935,0.0015948185437828113,0.0002610553822702705
101,Matrix C,CacheFollower,1.0,0.41476002394153044,0.4197813227538467,0.18132739264949477,2-to-1,0.12662664299583634,0.020995806077322206,0.12662664299583634,0.020995806077322206,0.1727988280459885,-0.018083968365886067,1.1330924141251462,-0.47936768382546735
102,Matrix A,CacheFollower,1.0,0.4932731422127044,0.49645969832620135,0.32132525322469335,4-to-1,0.15666502945282088,-0.04066272783459442,0.1612771501738816,-0.049135508286648415,0.07032482827983688,-0.04874945830683123,0.24990897624956881,-0.47672112642807407
103,Matrix C,WebServer,1.0,0.3493656036161469,0.3694671408928992,0.1745330615452702,4-to-1,0.2795188325359298,0.03282784620099,0.2795188325359298,0.03282784620099,0.100878933835666,-0.028919606744872928,1.1667737543675436,-0.6797023039005711
104,Matrix A,CacheFollower,1.0,0.7313691177103281,0.7318137348121613,0.64611284044269,1-to-1,1.1660231853220167,0.13929174342137948,1.0233481904677322,0.18674130982162962,0.6718744139856357,-0.21274573344360606,1.7591591570908847,-0.20970121110953974
