id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__ns3_path,p99__ns3__ns3_path,was__ns3__flowsim,p99__ns3__flowsim
115,Matrix A,WebServer,1.0,0.6349799138648079,0.6512190569657826,0.4145565671236805,4-to-1,0.3441752717747815,0.23977308295514982,0.2122009340729204,0.19412778361697225,9.396326932648373,58.05278102800188
116,Matrix C,WebServer,1.0,0.6780269746651542,0.7169226823880767,0.3386680351025225,4-to-1,0.16226002442658052,0.08100419976854974,3.587712033784044,0.197898338509568,0.4149922441838597,-0.16047320542553858
117,Matrix A,Hadoop,1.0,0.582595013654567,0.5985250864538679,0.38037891065119334,4-to-1,0.25076222372125145,0.10398616581631323,0.20261337035964821,0.11565680973070877,8.427943865433347,60.694575676305895
118,Matrix A,WebServer,1.0,0.7472724190064007,0.7665826605137643,0.48799535691934554,4-to-1,0.6946184243542923,0.4953989292694878,0.2796976216345765,0.12705916842240442,14.750308698664794,82.13713857571301
119,Matrix C,Hadoop,2.0,0.49326275395570457,0.5266744272949283,0.20796867410662825,1-to-1,0.09341305685081615,0.027739987721425136,2.1494699525152474,0.14480121267847754,0.2847452491398589,-0.34964312296892414
120,Matrix B,WebServer,1.0,0.461828272407843,0.4715003145960332,0.3787272129249592,4-to-1,0.14307703495420762,0.07364167531813356,0.3910483132418793,-0.7181572082984684,0.4044004196104112,-0.781659302013564
121,Matrix A,WebServer,2.0,0.49493995903119375,0.5149335779427635,0.4629251425695356,2-to-1,0.23493598528758863,0.09507734321931761,0.36747049340817,0.07897336291820228,19.851602366538792,100.76464983910141
122,Matrix A,CacheFollower,2.0,0.6731542124437904,0.6734581094021567,0.5945897639479595,1-to-1,0.5468121959303582,0.1399077708774865,0.5576529499678362,-0.09320057870428082,1237.8111284335323,3004.737127662332
123,Matrix A,CacheFollower,1.0,0.6950740059962296,0.6955264206328475,0.6482402283796826,2-to-1,0.6286874993933148,0.1409638566606571,0.5530700133707294,-0.13039440508944616,1266.8345100438162,3013.203120529548
124,Matrix C,CacheFollower,1.0,0.3308091745833327,0.3348191100111667,0.13811621335570815,1-to-1,0.012767120032500922,-0.014009002113723848,0.8263641171873115,0.7027750946477868,0.28712724595547345,-0.2377513465714551
125,Matrix A,Hadoop,2.0,0.30602592697297515,0.3222634894857255,0.28623702481719965,2-to-1,0.07527670893795292,0.025770823609861833,0.18550479061394462,0.12194038842987215,4.800600599364342,35.3219433714468
126,Matrix C,Hadoop,2.0,0.4185834677713861,0.4469391680300249,0.20892348035682856,4-to-1,0.07014145745595644,0.026272748722819764,1.6339276487577652,0.1813277845315007,0.23586655281485805,-0.4453239900547682
127,Matrix B,Hadoop,2.0,0.49824011701615384,0.5454769095311165,0.40955642964213346,1-to-1,0.1370665527956994,0.03564304273938005,0.6702750932522084,-0.7085126699189748,0.6917000939296446,-0.7355003506369637
128,Matrix C,CacheFollower,1.0,0.45664101386204586,0.4621681043044603,0.22712420100409358,4-to-1,0.024761009761167813,0.050969378549736676,1.4697770463005169,0.29294165942416556,0.4500700032304111,-0.26299480419951604
129,Matrix C,Hadoop,1.0,0.39190538186072243,0.41833256296659954,0.19555225463892398,4-to-1,0.06732938474520539,0.029903150099006882,1.4112133378079996,0.19760636188554528,0.21112493593667137,-0.47402301013812137
130,Matrix B,CacheFollower,1.0,0.6503440744522004,0.6588674152216795,0.5426267410706717,2-to-1,0.28126027112484875,0.05783210519398353,1.2336309195630386,-0.776952277137021,1.2436544263750962,-0.7857675378326118
