id,matrix,size_dist,lognorm_sigma,max_load_spec,max_load,top10pct_load,oversub,was__ns3__pmn_m,p99__ns3__pmn_m,was__ns3__pmn_mc,p99__ns3__pmn_mc
129,Matrix C,Hadoop,1.0,0.39190538186072243,0.43097955361081924,0.19606864556122486,4-to-1,0.06330367346743103,0.025593504980981147,0.08977363476322683,0.04961275013033473
130,Matrix B,CacheFollower,1.0,0.6503440744522004,0.648627112044987,0.5400072091056511,2-to-1,0.26820444118735914,0.045434755659261306,0.2646206794660689,0.044461971507056386
131,Matrix A,Hadoop,2.0,0.5180003868085181,0.5379203536135955,0.3366851784713068,4-to-1,0.17174170857670618,0.07233907234012543,0.1610007111165985,0.06497747371372284
132,Matrix A,CacheFollower,2.0,0.3419344937812453,0.34469306041815534,0.315953483843099,2-to-1,0.13700506587898384,0.062448405983459326,0.13906254921839306,0.06896603438901626
133,Matrix B,CacheFollower,1.0,0.3914071175035624,0.3903922058252217,0.3196213359187166,1-to-1,0.08708793483679704,0.012415766532977601,0.08465871951361933,0.011706186542643198
134,Matrix C,Hadoop,2.0,0.4241574152059473,0.4701107786236352,0.21387159324505292,4-to-1,0.07951458648280303,0.03012078368409449,0.1132611483946638,0.059461902808874104
135,Matrix A,Hadoop,1.0,0.5683213427477707,0.6324270194398813,0.501856313955875,1-to-1,0.19849756236996705,0.07309424596175178,0.18929933939925472,0.08392137165586228
136,Matrix A,CacheFollower,1.0,0.4954424477588005,0.5002071188202657,0.45849826223748646,2-to-1,0.21289913420718592,0.07892405571203064,0.2223532360813077,0.0960476488315945
137,Matrix C,WebServer,2.0,0.3516087802067719,0.3935914015604473,0.15293012613226326,1-to-1,0.06388110723399794,0.03636412571233275,0.08350376226029406,0.07809638991902859
138,Matrix C,WebServer,1.0,0.6056627327176369,0.6726023628513403,0.27208515837155267,2-to-1,0.12700660234732822,0.05074026702321744,0.15992580722485306,0.09155615348469329
139,Matrix A,CacheFollower,2.0,0.36169084657817685,0.36458723897931616,0.33418893953049733,2-to-1,0.15204144554762067,0.06031942439130502,0.15005100835818866,0.062492151346255964
140,Matrix C,Hadoop,2.0,0.26457544482013917,0.29323411567084123,0.11897827640670001,2-to-1,0.044570839284671156,-0.007073426156933353,0.058419815345741095,0.06820934373942905
141,Matrix B,CacheFollower,1.0,0.3146075118311099,0.3170972897826671,0.25569041083067107,4-to-1,0.0679094546297689,0.024018095244088912,0.06655142336288741,0.018585178475456543
142,Matrix A,Hadoop,2.0,0.6382770065410617,0.7092145139875539,0.5627790428168712,1-to-1,0.3084055434496826,0.1002285960782152,0.2911698940516418,0.11810319532646947
143,Matrix B,CacheFollower,1.0,0.6195808254213897,0.6179520497259942,0.5144690306980362,2-to-1,0.2317302403320151,0.03893476681498495,0.22610398240034316,0.03462220775974948
144,Matrix A,Hadoop,2.0,0.3881829176457554,0.40311662599165815,0.2523113175593089,4-to-1,0.07889811078329412,0.051453594228936826,0.0753010387087035,0.044407865996572884
145,Matrix C,WebServer,1.0,0.5497249697782385,0.6106273965660632,0.27628765554617185,4-to-1,0.1137107556046874,0.06377871144996862,0.14844159372448712,0.10499653402764443
146,Matrix B,WebServer,2.0,0.4873949190368663,0.4908033803525055,0.405166922821895,2-to-1,0.14189229016304228,0.05833984313273886,0.13470076364484782,0.057889159582618026
147,Matrix A,Hadoop,1.0,0.3726029934923354,0.4146155169288723,0.34663219926539723,2-to-1,0.09323538104248671,0.022055413244137,0.09064485787537542,0.022111346419222605
148,Matrix B,CacheFollower,1.0,0.4402139263202343,0.4437044422883091,0.3577796934556714,4-to-1,0.1302077684646485,0.02349066790377072,0.12934546366853972,0.022772526048747018
149,Matrix B,Hadoop,2.0,0.492439325719155,0.5212661543265951,0.400594201672578,4-to-1,0.18117936227296305,0.039980493854355335,0.17335337434803114,0.037687829565042706
150,Matrix C,WebServer,2.0,0.7165477704140878,0.8019118126775748,0.3628381519506863,4-to-1,0.18146665980792126,0.059296202091566885,0.23891977803225017,0.1386508577660195
151,Matrix C,Hadoop,1.0,0.42582408589101306,0.4682719594017157,0.18239320727125366,1-to-1,0.07344000141572474,0.024970383245003905,0.1087105146852234,0.054611498098014376
152,Matrix B,WebServer,1.0,0.43017195695609256,0.45652731022961995,0.34922814851525036,4-to-1,0.11222662756494696,0.0704459635817416,0.11206892324349292,0.07249874553348341
